geo_name|st|White Alone|Black Alone|Total White and Black
Clark County|ID|711|7|718
Clearwater County|ID|8225|18|8243
Custer County|ID|4209|8|4217
Elmore County|ID|22213|733|22946
Franklin County|ID|12064|28|12092
Fremont County|ID|11855|46|11901
Gem County|ID|15616|20|15636
Gooding County|ID|12481|37|12518
Idaho County|ID|15259|42|15301
Jefferson County|ID|23844|52|23896
Jerome County|ID|17904|62|17966
Kootenai County|ID|130844|416|131260
Latah County|ID|34557|293|34850
Lemhi County|ID|7654|18|7672
Lewis County|ID|3450|14|3464
Lincoln County|ID|4171|19|4190
Madison County|ID|35235|185|35420
Minidoka County|ID|16091|77|16168
Nez Perce County|ID|35390|117|35507
Oneida County|ID|4144|9|4153
Owyhee County|ID|8757|23|8780
Payette County|ID|20053|52|20105
Power County|ID|5867|22|5889
Shoshone County|ID|12174|26|12200
Teton County|ID|8709|25|8734
Twin Falls County|ID|68693|342|69035
Valley County|ID|9445|11|9456
Washington County|ID|8835|18|8853
Adams County|IL|62868|2331|65199
Alexander County|IL|5018|2915|7933
Bond County|IL|16143|1080|17223
Boone County|IL|45724|1064|46788
Brown County|IL|5276|1280|6556
Bureau County|IL|32937|212|33149
Calhoun County|IL|5032|7|5039
Carroll County|IL|14906|123|15029
Cass County|IL|11769|419|12188
Champaign County|IL|147600|24946|172546
Christian County|IL|33610|495|34105
Clark County|IL|16027|48|16075
Clay County|IL|13499|47|13546
Clinton County|IL|35284|1338|36622
Coles County|IL|50029|2067|52096
Cook County|IL|2877212|1287767|4164979
Crawford County|IL|18381|934|19315
Cumberland County|IL|10856|38|10894
DeKalb County|IL|89453|6732|96185
De Witt County|IL|16035|87|16122
Douglas County|IL|19113|58|19171
DuPage County|IL|714140|42346|756486
Edgar County|IL|18268|64|18332
Edwards County|IL|6584|30|6614
Effingham County|IL|33429|79|33508
Fayette County|IL|20750|980|21730
Ford County|IL|13677|85|13762
Franklin County|IL|38641|123|38764
Fulton County|IL|34625|1269|35894
Gallatin County|IL|5473|12|5485
Greene County|IL|13588|119|13707
Grundy County|IL|46933|605|47538
Hamilton County|IL|8305|31|8336
Hancock County|IL|18723|52|18775
Hardin County|IL|4205|13|4218
Henderson County|IL|7198|15|7213
Henry County|IL|47846|796|48642
Iroquois County|IL|28155|233|28388
Jackson County|IL|46875|8589|55464
Jasper County|IL|9564|11|9575
Jefferson County|IL|34315|3251|37566
Jersey County|IL|22431|93|22524
Jo Daviess County|IL|22046|107|22153
Johnson County|IL|11197|1006|12203
Kane County|IL|384548|29422|413970
Kankakee County|IL|87986|17187|105173
Kendall County|IL|95891|6585|102476
Knox County|IL|46329|3810|50139
Lake County|IL|528204|49033|577237
LaSalle County|IL|106187|2186|108373
Lawrence County|IL|14696|1608|16304
Lee County|IL|32745|1735|34480
Livingston County|IL|35752|1915|37667
Logan County|IL|27008|2285|29293
McDonough County|IL|29476|1642|31118
McHenry County|IL|278257|3283|281540
McLean County|IL|142940|12426|155366
Macon County|IL|87855|18027|105882
Macoupin County|IL|46596|359|46955
Madison County|IL|237641|21235|258876
Marion County|IL|36734|1557|38291
Marshall County|IL|12271|44|12315
Mason County|IL|14382|54|14436
Massac County|IL|14033|904|14937
Menard County|IL|12383|76|12459
Mercer County|IL|16153|47|16200
Monroe County|IL|32287|69|32356
Montgomery County|IL|28632|952|29584
Morgan County|IL|32321|2122|34443
Moultrie County|IL|14622|41|14663
Ogle County|IL|49867|483|50350
Peoria County|IL|138800|33030|171830
Perry County|IL|19656|1866|21522
Piatt County|IL|16393|58|16451
Pike County|IL|15928|275|16203
Pope County|IL|4098|269|4367
Pulaski County|IL|3965|1994|5959
Putnam County|IL|5803|32|5835
